SimulationTime,Episode,Step,TotalVehicles,VehiclesWaiting,QueueLength,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed,AverageWaitTime
1133.023,37,13,138,3,3,0,59.82654,1,20,0,0
1143.023,38,6,140,5,5,0,50,2,34,0,0
1153.023,38,7,141,6,6,0,50,2,34,0,0
1163.023,38,15,143,8,8,0,50,2,34,0,0
1173.023,39,3,144,9,9,0,68.18189,0,40,0,0
1183.023,39,5,145,1,1,0,68.18189,0,40,0,0
1193.023,39,6,146,1,1,0,68.18189,0,40,0,0
1203.023,39,13,147,1,1,0,68.18189,0,40,0,0
1213.023,40,2,148,1,1,0,62.5,1,20,0,0
1223.023,40,9,149,2,2,0,62.5,1,20,0,0
1233.023,41,2,151,4,4,0,50,2,30,0,0
1243.023,41,4,152,4,4,0,50,2,30,0,0
1253.023,41,10,153,5,5,0,50,2,30,0,0
1263.023,42,2,154,6,6,0,66.66666,0,40,0,0
1273.023,42,4,155,1,1,0,66.66666,0,40,0,0
1283.023,42,4,156,1,1,0,66.66666,0,40,0,0
1293.023,42,11,157,1,1,0,66.66666,0,40,0,0
1303.023,43,2,158,1,1,0,50,1,20,0,0
1313.023,43,9,159,2,2,0,50,1,20,0,0
1323.023,44,1,160,3,3,0,50,2,30,0,0
1333.023,44,3,161,4,4,0,50,2,30,0,0
1343.023,44,10,163,6,6,0,50,2,30,0,0
1353.023,45,1,164,7,7,0,50,0,40,0,0
1363.023,45,5,165,1,1,0,50,0,40,0,0
1374.854,45,6,166,0,0,0,50,0,40,0,0
1385.734,45,11,168,1,1,0,50,0,40,0,0
1395.734,46,2,169,1,1,0,70.23882,1,20,0,0
1405.734,46,9,170,2,2,0,70.23882,1,20,0,0
1415.734,47,2,171,3,3,0,50,2,30,0,0
1425.734,47,4,172,3,3,0,50,2,30,0,0
1435.734,47,10,174,5,5,0,50,2,30,0,0
1445.734,48,2,175,6,6,0,50,0,40,0,0
1455.734,48,5,176,1,1,0,50,0,40,0,0
1465.734,48,5,177,1,1,0,50,0,40,0,0
1475.734,48,12,178,1,1,0,50,0,40,0,0
1485.734,49,2,180,1,1,0,62.5,1,20,0,0
1495.734,49,7,181,2,2,0,62.5,1,20,0,0
1505.734,50,1,182,3,3,0,75,2,32,0,0
1515.734,50,3,183,4,4,0,75,2,32,0,0
1525.734,50,7,184,5,5,0,75,2,32,0,0
1535.734,50,15,186,7,7,0,75,2,32,0,0
1545.734,51,4,187,1,1,0,59.99993,0,36,0,0
1555.734,51,5,188,1,1,0,59.99993,0,36,0,0
1565.734,51,9,190,1,1,0,59.99993,0,36,0,0
1575.734,52,2,191,1,1,0,54.54552,1,20,0,0
1585.734,52,7,192,2,2,0,54.54552,1,20,0,0
1595.734,53,2,194,4,4,0,75,2,34,0,0
1605.734,53,5,195,5,5,0,75,2,34,0,0
1615.734,53,10,196,6,6,0,75,2,34,0,0
1625.734,53,16,197,7,7,0,75,2,34,0,0
1635.734,54,4,198,6,6,0,68.18166,0,40,0,0
1645.734,54,5,199,0,0,0,68.18166,0,40,0,0
1656.65,54,9,201,1,1,0,68.18166,0,40,0,0
1669.464,54,19,202,0,0,0,68.18166,0,40,0,0
1679.464,55,4,203,1,1,0,49.50956,1,20,0,0
1689.464,55,13,205,3,3,0,49.50956,1,20,0,0
1699.464,56,3,206,4,4,0,75,2,30,0,0
1709.464,56,6,207,5,5,0,75,2,30,0,0
1719.464,56,15,209,7,7,0,75,2,30,0,0
1729.464,57,3,210,1,1,0,66.66666,0,40,0,0
1739.464,57,6,211,1,1,0,66.66666,0,40,0,0
1749.464,57,7,213,1,1,0,66.66666,0,40,0,0
1759.464,57,19,214,1,1,0,66.66666,0,40,0,0
1769.464,58,3,215,2,2,0,62.5,1,22,0,0
1779.464,58,13,216,3,3,0,62.5,1,22,0,0
1789.464,59,4,217,4,4,0,42.85729,2,30,0,0
1799.464,59,7,218,5,5,0,42.85729,2,30,0,0
1809.464,59,16,219,6,6,0,42.85729,2,30,0,0
1819.464,60,2,220,4,4,0,66.66666,0,40,0,0
1829.464,60,6,221,0,0,0,66.66666,0,40,0,0
1839.464,60,8,222,0,0,0,66.66666,0,40,0,0
1849.464,60,18,224,1,1,0,66.66666,0,40,0,0
1859.464,61,4,225,1,1,0,50,1,20,0,0
1869.464,61,13,226,2,2,0,50,1,20,0,0
1879.464,62,3,227,2,2,0,50,2,30,0,0
1889.464,62,5,228,3,3,0,50,2,30,0,0
1899.464,62,14,230,5,5,0,50,2,30,0,0
1909.464,63,2,231,3,3,0,66.66666,0,40,0,0
1919.464,63,6,232,1,1,0,66.66666,0,40,0,0
1931.946,63,7,233,1,1,0,66.66666,0,40,0,0
1944.734,63,18,234,0,0,0,66.66666,0,40,0,0
1954.734,64,5,236,2,2,0,47.69043,1,20,0,0
1964.734,64,13,237,3,3,0,47.69043,1,20,0,0
1974.734,65,4,238,4,4,0,75,2,30,0,0
1984.734,65,7,240,6,6,0,75,2,30,0,0
1994.734,65,16,241,7,7,0,75,2,30,0,0
2004.734,66,2,242,1,1,0,66.66666,0,39,0,0
2014.734,66,5,243,1,1,0,66.66666,0,39,0,0
2024.734,66,8,244,1,1,0,66.66666,0,39,0,0
2034.734,66,17,245,1,1,0,66.66666,0,39,0,0
2044.734,67,6,246,1,1,0,50,1,20,0,0
2058.067,68,1,248,3,3,0,50.00031,2,30,0,0
2068.067,68,6,249,4,4,0,50.00031,2,30,0,0
2081.275,68,11,250,5,5,0,50.00031,2,30,0,0
2091.275,69,1,252,7,7,0,60.22644,0,40,0,0
2101.275,69,4,253,1,1,0,60.22644,0,40,0,0
2111.275,69,7,254,1,1,0,60.22644,0,40,0,0
2121.275,69,10,255,1,1,0,60.22644,0,40,0,0
2131.275,70,3,256,1,1,0,62.5,1,20,0,0
2141.275,70,8,257,2,2,0,62.5,1,20,0,0
2151.275,71,1,258,3,3,0,50,2,29,0,0
2161.275,71,6,260,5,5,0,50,2,29,0,0
2171.275,71,10,261,6,6,0,50,2,29,0,0
2181.275,72,1,262,7,7,0,50,0,40,0,0
2191.275,72,4,263,1,1,0,50,0,40,0,0
2201.275,72,7,264,1,1,0,50,0,40,0,0
2213.708,72,12,265,1,1,0,50,0,40,0,0
2223.708,73,4,266,1,1,0,58.91592,1,20,0,0
2233.708,73,11,267,2,2,0,58.91592,1,20,0,0
2243.708,74,1,268,3,3,0,50,2,30,0,0
2253.708,74,6,270,4,4,0,50,2,30,0,0
2263.708,74,12,271,5,5,0,50,2,30,0,0
2273.708,75,1,273,7,7,0,66.66666,0,40,0,0
2283.708,75,3,274,1,1,0,66.66666,0,40,0,0
2293.708,75,8,275,0,0,0,66.66666,0,40,0,0
2303.708,75,13,276,0,0,0,66.66666,0,40,0,0
2313.708,76,2,278,1,1,0,62.5,1,20,0,0
2323.708,76,8,279,2,2,0,62.5,1,20,0,0
2333.708,77,1,280,3,3,0,50,2,31,0,0
2343.708,77,5,281,2,2,0,50,2,31,0,0
2353.708,77,11,282,3,3,0,50,2,31,0,0
2363.708,77,16,283,4,4,0,50,2,31,0,0
2373.708,78,2,284,1,1,0,60.00014,0,40,0,0
2383.708,78,8,285,0,0,0,60.00014,0,40,0,0
2393.708,78,11,286,0,0,0,60.00014,0,40,0,0
2403.708,78,19,287,0,0,0,60.00014,0,40,0,0
2417.036,79,5,289,2,2,0,50,1,20,0,0
2427.036,79,12,290,3,3,0,50,1,20,0,0
2437.036,80,5,291,4,4,0,64.30074,2,30,0,0
2447.036,80,10,292,5,5,0,64.30074,2,30,0,0
2457.036,80,16,293,6,6,0,64.30074,2,30,0,0
2467.036,81,1,294,2,2,0,50,0,42,0,0
2477.036,81,8,295,1,1,0,50,0,42,0,0
2490.296,81,11,297,1,1,0,50,0,42,0,0
2500.296,81,20,298,1,1,0,50,0,42,0,0
2510.296,82,4,299,1,1,0,57.79107,1,20,0,0
2520.296,82,11,300,2,2,0,57.79107,1,20,0,0
2530.296,83,4,302,2,2,0,50,2,30,0,0
2540.296,83,8,303,3,3,0,50,2,30,0,0
2550.296,83,14,304,4,4,0,50,2,30,0,0
2560.296,84,2,305,1,1,0,66.66666,0,40,0,0
2570.296,84,7,307,1,1,0,66.66666,0,40,0,0
2580.296,84,10,308,1,1,0,66.66666,0,40,0,0
2590.296,84,20,309,0,0,0,66.66666,0,40,0,0
2600.296,85,3,311,2,2,0,62.5,1,20,0,0
2610.296,85,9,312,3,3,0,62.5,1,20,0,0
2620.296,86,4,313,4,4,0,75,2,30,0,0
2630.296,86,6,314,5,5,0,75,2,30,0,0
2640.296,86,14,316,7,7,0,75,2,30,0,0
2650.296,87,2,317,3,3,0,66.66666,0,40,0,0
2660.296,87,7,318,1,1,0,66.66666,0,40,0,0
2670.296,87,12,319,0,0,0,66.66666,0,40,0,0
2680.296,87,20,321,1,1,0,66.66666,0,40,0,0
2690.296,88,6,322,2,2,0,62.5,1,20,0,0
2700.296,88,10,323,3,3,0,62.5,1,20,0,0
2710.296,89,5,324,4,4,0,50,2,30,0,0
2720.296,89,8,326,6,6,0,50,2,30,0,0
2730.296,89,14,327,7,7,0,50,2,30,0,0
2740.296,90,1,329,2,2,0,66.66666,0,40,0,0
2750.296,90,6,330,1,1,0,66.66666,0,40,0,0
2760.296,90,11,332,1,1,0,66.66666,0,40,0,0
2770.296,90,21,333,1,1,0,66.66666,0,40,0,0
2780.296,91,2,334,2,2,0,75,1,20,0,0
2790.296,91,9,335,3,3,0,75,1,20,0,0
2800.296,92,6,336,4,4,0,50,2,23,0,0
2810.296,92,8,337,5,5,0,50,2,23,0,0
2820.296,93,3,338,3,3,0,42.85684,0,40,0,0
2833.32,93,4,339,0,0,0,42.85684,0,40,0,0
2843.32,93,10,340,0,0,0,42.85684,0,40,0,0
2853.32,93,14,342,1,1,0,42.85684,0,40,0,0
2863.32,94,8,343,1,1,0,58.10687,1,22,0,0
2873.32,94,9,344,2,2,0,58.10687,1,22,0,0
2883.32,95,1,345,3,3,0,64.28594,2,30,0,0
2893.32,95,7,346,4,4,0,64.28594,2,30,0,0
2903.32,95,10,347,5,5,0,64.28594,2,30,0,0
2913.32,96,1,348,6,6,0,50,0,40,0,0
2923.32,96,2,349,0,0,0,50,0,40,0,0
2933.32,96,9,351,1,1,0,50,0,40,0,0
2943.32,96,12,352,1,1,0,50,0,40,0,0
2953.32,97,4,353,1,1,0,50,1,20,0,0
2963.32,97,5,354,2,2,0,50,1,20,0,0
2973.32,98,1,355,3,3,0,75,2,24,0,0
2983.32,98,6,356,2,2,0,75,2,24,0,0
2993.32,98,10,358,4,4,0,75,2,24,0,0
3003.32,99,4,359,2,2,0,56.24983,0,40,0,0
3013.32,99,5,360,1,1,0,56.24983,0,40,0,0
3023.32,99,10,361,0,0,0,56.24983,0,40,0,0
3033.32,99,15,363,1,1,0,56.24983,0,40,0,0
3043.32,100,6,364,1,1,0,62.5,1,20,0,0
